id,href,agency/id,agency/href,agency/name,agency/culture,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,modes/0
m8fcrz5bqECU56gHAOxVwA,https://platform.whereismytransport.com/api/stops/m8fcrz5bqECU56gHAOxVwA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"City Square, High Court",Point,32.57871,0.31593,ShareTaxi
n1f9qzFQ30aLtagHAOxX5w,https://platform.whereismytransport.com/api/stops/n1f9qzFQ30aLtagHAOxX5w,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"City Square, Mabirizi Square",Point,32.57819,0.31504,ShareTaxi
xkOJsn0AUEGFKqgXAHShXw,https://platform.whereismytransport.com/api/stops/xkOJsn0AUEGFKqgXAHShXw,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"City Square, Mabiziri Complex",Point,32.57755,0.31515,ShareTaxi
dc4OdrcrS0a546gXAHSe8g,https://platform.whereismytransport.com/api/stops/dc4OdrcrS0a546gXAHSe8g,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"City Square, Wilson Road",Point,32.57703,0.31423,ShareTaxi
f9-Gamfdwk-Ln6gHAOxVxQ,https://platform.whereismytransport.com/api/stops/f9-Gamfdwk-Ln6gHAOxVxQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"City Square, mabirizi Complex",Point,32.57814,0.3152,ShareTaxi
hjBtI8zsfEq-qagHAOxZCA,https://platform.whereismytransport.com/api/stops/hjBtI8zsfEq-qagHAOxZCA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Clock Tower Stage,Point,32.57787,0.30635,ShareTaxi
aqP04_53VECjgqgHAOxZBA,https://platform.whereismytransport.com/api/stops/aqP04_53VECjgqgHAOxZBA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Coffee Shop,Point,32.58031,0.31015,ShareTaxi
Uxfme8QmSUKIzqgHAOxWlA,https://platform.whereismytransport.com/api/stops/Uxfme8QmSUKIzqgHAOxWlA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Constitutional Square,Point,32.57841,0.31529,ShareTaxi
-3aR-9MRj026q6gHAOxVHg,https://platform.whereismytransport.com/api/stops/-3aR-9MRj026q6gHAOxVHg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Ankanin Cl and Naayla Road,Point,32.63,0.36388,ShareTaxi
jGuxc_SSa0-OwqgHAOxTZw,https://platform.whereismytransport.com/api/stops/jGuxc_SSa0-OwqgHAOxTZw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Bukoto Kisasi Road and Kira Road,Point,32.59906,0.34861,ShareTaxi
21GeSx1hHEK1IKgHAOxTmg,https://platform.whereismytransport.com/api/stops/21GeSx1hHEK1IKgHAOxTmg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Dr Lukwiya Road and Naalya Road,Point,32.62856,0.36377,ShareTaxi
QCztGsD8vkasXagHAOxaFg,https://platform.whereismytransport.com/api/stops/QCztGsD8vkasXagHAOxaFg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Edward Road and Old Butabika Road,Point,32.64496,0.32085,ShareTaxi
oFUs98lx0Ea9z6gHAOxVqQ,https://platform.whereismytransport.com/api/stops/oFUs98lx0Ea9z6gHAOxVqQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner George Street and Kyagwe Road,Point,32.57633,0.31914,ShareTaxi
K7CLGcklzUGKHagXAHSgFw,https://platform.whereismytransport.com/api/stops/K7CLGcklzUGKHagXAHSgFw,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Corner Gwatiro road and Jinja Road,Point,32.6615,0.35264,ShareTaxi
RGxSWy3XKESWzqgHAOxamw,https://platform.whereismytransport.com/api/stops/RGxSWy3XKESWzqgHAOxamw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kalinabiri Road and Old Kira Road,Point,32.61604,0.35785,ShareTaxi
-yX6BvhePkaBS6gHAOxWyA,https://platform.whereismytransport.com/api/stops/-yX6BvhePkaBS6gHAOxWyA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kamuli-Kilule Road and Jinja-Kampala Road,Point,32.64095,0.34446,ShareTaxi
nM1tZSed8U-XkagHAOxX6w,https://platform.whereismytransport.com/api/stops/nM1tZSed8U-XkagHAOxX6w,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kasule Sendi Road and Old Butabika Road,Point,32.64439,0.32139,ShareTaxi
8yrj_2t-V0C8hqgHAOxZxg,https://platform.whereismytransport.com/api/stops/8yrj_2t-V0C8hqgHAOxZxg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kayemba Road and Katwe Road,Point,32.57423,0.29754,ShareTaxi
9HMYnKIhkEC09qgHAOxZ_g,https://platform.whereismytransport.com/api/stops/9HMYnKIhkEC09qgHAOxZ_g,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kibuuka Road and Old Butabika Road,Point,32.63993,0.32182,ShareTaxi
bOfzqqvxx0iPP6gHAOxZPA,https://platform.whereismytransport.com/api/stops/bOfzqqvxx0iPP6gHAOxZPA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kigo Road and Kampala-Entebbe Road,Point,32.54855,0.22554,ShareTaxi
vQHDF6J76k2mZqgHAOxarg,https://platform.whereismytransport.com/api/stops/vQHDF6J76k2mZqgHAOxarg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kira Lane and Kyaliwajja-Naalya Road,Point,32.6376,0.36529,ShareTaxi
ph24GWBFIk6wkKgHAOxX1A,https://platform.whereismytransport.com/api/stops/ph24GWBFIk6wkKgHAOxX1A,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kyagwe Road and Lumumba Avenue,Point,32.57742,0.31954,ShareTaxi
